arm,t_sim_from_off,mono,z_up,r_horiz,north,east
S,-0.1760,2617.7258,4.3997,10.2382,10.1825,1.0666
S,-0.1560,2617.7460,4.4054,10.2444,10.1870,1.0826
S,-0.1360,2617.7671,4.4107,10.2497,10.1907,1.0978
S,-0.1160,2617.7871,4.4157,10.2542,10.1937,1.1122
S,-0.0800,2617.8224,4.4242,10.2603,10.1973,1.1361
S,-0.0400,2617.8619,4.4339,10.2653,10.1996,1.1594
S,-0.0200,2617.8823,4.4390,10.2675,10.2006,1.1696
S,0.0000,2617.9031,4.4444,10.2697,10.2018,1.1788
S,0.0200,2617.9244,4.4499,10.2719,10.2031,1.1870
S,0.0560,2617.9591,4.4603,10.2765,10.2063,1.1993
S,0.0960,2617.9976,4.4717,10.2816,10.2104,1.2079
S,0.1160,2618.0186,4.4754,10.2812,10.2103,1.2050
S,0.1560,2618.0582,4.4807,10.2742,10.2058,1.1828
S,0.1920,2618.0953,4.4891,10.2676,10.2022,1.1570
S,0.2320,2618.1342,4.5024,10.2625,10.1998,1.1333
S,0.2520,2618.1544,4.5096,10.2612,10.1993,1.1254
S,0.2720,2618.1749,4.5166,10.2607,10.1993,1.1208
S,0.3120,2618.2144,4.5284,10.2626,10.2012,1.1212
S,0.3320,2618.2352,4.5330,10.2650,10.2030,1.1262
S,0.3720,2618.2739,4.5391,10.2733,10.2094,1.1444
S,0.3920,2618.2939,4.5408,10.2796,10.2143,1.1574
S,0.4120,2618.3143,4.5417,10.2876,10.2205,1.1724
S,0.4520,2618.3537,4.5410,10.3090,10.2379,1.2082
S,0.4720,2618.3742,4.5396,10.3227,10.2494,1.2284
S,0.5120,2618.4152,4.5351,10.3567,10.2783,1.2720
S,0.5480,2618.4496,4.5294,10.3946,10.3113,1.3137
S,0.5680,2618.4711,4.5258,10.4187,10.3324,1.3376
S,0.6080,2618.5106,4.5177,10.4725,10.3804,1.3858
S,0.6480,2618.5510,4.5091,10.5332,10.4351,1.4340
S,0.6880,2618.5915,4.5005,10.5994,10.4953,1.4816
S,0.7240,2618.6269,4.4931,10.6624,10.5530,1.5240
S,0.7440,2618.6482,4.4892,10.6985,10.5861,1.5473
S,0.7840,2618.6855,4.4819,10.7723,10.6538,1.5938
S,0.8040,2618.7063,4.4786,10.8097,10.6881,1.6170
S,0.8440,2618.7457,4.4723,10.8850,10.7571,1.6640
S,0.8640,2618.7672,4.4695,10.9228,10.7916,1.6878
S,0.9040,2618.8061,4.4640,10.9984,10.8604,1.7364
S,0.9440,2618.8463,4.4588,11.0739,10.9288,1.7869
S,0.9800,2618.8833,4.4544,11.1419,10.9899,1.8340
S,1.0200,2618.9218,4.4503,11.2177,11.0576,1.8887
S,1.0400,2618.9426,4.4489,11.2558,11.0914,1.9169
S,1.0760,2618.9780,4.4483,11.3246,11.1520,1.9693
S,1.0960,2618.9985,4.4491,11.3630,11.1857,1.9993
S,1.1360,2619.0380,4.4524,11.4400,11.2528,2.0608
S,1.1560,2619.0591,4.4548,11.4786,11.2863,2.0923
S,1.1960,2619.1002,4.4605,11.5559,11.3528,2.1566
S,1.2360,2619.1380,4.4673,11.6331,11.4188,2.2227
S,1.2760,2619.1783,4.4748,11.7103,11.4842,2.2905
S,1.3120,2619.2134,4.4820,11.7798,11.5424,2.3531
